,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tolls_amount,total_amount,tip_amount,tipped,tip_class
0,B505BF57EE08B47D1A9A28F746C46A37,0263C0794089506BC7EE5039A788A23F,VTS,1  ,""""" ",2013-03-04 22:27:00,2013-03-04 22:31:00,2,240,1.57,-73.983299,40.761131,-73.998055,40.746799,CRD,6.5,0.5,0.5,0.0,8.9,1.4,1,1
1,97576A28817DE822E51EE06A8F39B121,5AB656A83A7F3A6FB748083983725F18,VTS,1  ,""""" ",2013-01-30 14:26:00,2013-01-30 14:35:00,1,540,0.49,-73.977119,40.753883,-73.972488,40.757805,CRD,7.0,0.0,0.5,0.0,9.6,2.1,1,1
2,497EA6AC989E70C4912A3DF09AC49AC1,1169BE05DE845B9F5B8D418659B2EBA9,VTS,1  ,""""" ",2013-12-01 09:28:00,2013-12-01 09:47:00,1,1140,6.19,-73.960205,40.815697,-73.996277,40.750141,CRD,22.0,0.0,0.5,0.0,26.9,4.4,1,1
3,285530A1DAC07844A86C9D89EF63E705,489AF67A4812B7EDFA6FC561DBFDC50E,VTS,1  ,""""" ",2013-08-11 03:01:00,2013-08-11 03:06:00,1,300,1.95,-74.006599,40.744118,-73.988495,40.764191,CSH,7.5,0.5,0.5,0.0,8.5,0.0,0,0
4,22908753E00888CC219C875C8D5BC4F6,FE29BCD0A8ED84FA3EFECD120F0DF116,CMT,1  ,N  ,2013-12-03 16:00:45,2013-12-03 16:15:41,1,895,2.6,-73.97123,40.797932,-73.984398,40.767273,CSH,12.5,1.0,0.5,0.0,14.0,0.0,0,0
5,841DB385675243BD56791C6CDADE0819,605FD7CCAFAC7379C7E07E4152579D3F,VTS,1  ,""""" ",2013-01-07 20:51:00,2013-01-07 21:00:00,1,540,1.32,-73.990044,40.733269,-73.999672,40.743786,CRD,8.0,0.5,0.5,0.0,10.7,1.7,1,1
6,39E792C30AE8D44F556C3C009F0DBEDC,9E19925361C228AA6999B823F8CA6DD4,CMT,1  ,N  ,2013-12-27 23:29:09,2013-12-27 23:42:24,1,794,2.6,-73.99305,40.749561,-73.994598,40.726856,CSH,11.5,0.5,0.5,0.0,12.5,0.0,0,0
7,5F799475358AF4726C2178539F24A91C,96CBF14FC99B78FC62090CFBDDD82286,VTS,1  ,""""" ",2013-06-29 01:16:00,2013-06-29 01:23:00,1,420,1.85,-73.947449,40.775631,-73.965042,40.757519,CSH,8.0,0.5,0.5,0.0,9.0,0.0,0,0
8,3C78C36D50A7C146F45D85C41965AE6C,4C66CCCB2AF3032A8FD55644AD62B54E,VTS,1  ,""""" ",2013-04-17 19:51:00,2013-04-17 20:04:00,1,780,2.44,-73.990906,40.76519,-74.007492,40.740997,CSH,11.5,1.0,0.5,0.0,13.0,0.0,0,0
9,DE90A87F12F0EAEC2B76AB428F2832AB,E66E58207128619CFF2D2E2C3C7ECC08,VTS,1  ,""""" ",2013-08-28 22:20:00,2013-08-28 22:28:00,5,480,2.03,-73.997269,40.722137,-73.979263,40.745392,CRD,9.0,0.5,0.5,0.0,11.9,1.9,1,1
